history_block_num,rentrex,loan_num,total_lendable,total_lent,total_rent,total_rex,total_unlent
129254400,6112,343709,78377707.1618,32954323.0386,7430.6008,779093665148.5016,45423384.1232
129081600,6010,343211,78404379.5725,33349682.5621,7495.751,779361936892.8456,45054697.0104
128908800,5983,342599,78320197.7322,33408938.9209,7505.5963,778528320590.0425,44911258.8113
128736000,6456,340848,78239751.4149,31628597.3225,7219.0827,777731681426.8169,46611154.0924
128563200,6579,339882,78111395.0654,31119772.5453,7141.4454,776458765259.9204,46991622.5201
128390400,6696,339367,78128037.2933,30714408.0392,7080.3423,776627205725.94,47413629.2541
128217600,6566,338703,78235402.2072,31230815.6825,7158.2032,777697512700.6602,47004586.5247
128044800,6379,338403,78492160.0443,32030027.5055,7282.0972,780252936577.6415,46462132.5388
127872000,6565,338067,78551604.2535,31388055.5318,7182.8623,780847118378.6836,47163548.7217
127699200,6105,337618,78606033.0217,33100735.9319,7453.0001,781391429979.231,45505297.0898
127526400,5787,336831,78493716.4787,34244874.8835,7645.675,780278355498.1932,44248841.5952
127353600,5776,336131,78509535.3548,34294541.4779,7654.2308,780439028237.6221,44214993.8769
127180800,5730,335681,78703852.0292,34566206.6348,7701.3619,782374099731.6945,44137645.3944
127008000,5505,334557,78739709.8243,35459803.1395,7860.4191,782733988732.4142,43279906.6848
126835200,5544,333511,78810021.9781,35342491.8329,7839.181,783436391498.5349,43467530.1452
126662400,5461,332402,78777488.7735,35652445.6895,7895.4812,783116450063.5496,43125043.084
126489600,5423,331766,78950461.0924,35890997.4778,7939.13,784839379597.5839,43059463.6146
126316800,5425,331028,78796396.9506,35805973.289,7923.2836,783311216054.0197,42990423.6616
126144000,5495,330512,78901964.8167,35582854.3577,7882.3069,784364030192.5769,43319110.459
125971200,5393,330167,78886923.2934,35980989.607,7955.1742,784217874439.0062,42905933.6864
125798400,5312,329535,78809899.6875,36266736.84,8008.4759,783455486251.045,42543162.8475
125625600,5108,328634,78829002.8154,37100208.1311,8168.4622,783648742111.8176,41728794.6843
125452800,5059,327984,78660069.8006,37217830.3503,8191.5387,781972737227.6327,41442239.4503
125280000,5037,327358,78797576.7948,37376405.6808,8222.8277,783343130541.2756,41421171.114
125107200,5030,326652,78728189.6106,37367740.8451,8221.0409,782656772448.6571,41360448.7655
124934400,5013,326062,78725412.18,37438155.3818,8235.0487,782632576225.6958,41287256.7982
124761600,5047,325186,78840511.6582,37354300.1762,8218.3475,783780252546.7156,41486211.482
124588800,4988,324210,78800855.0669,37579548.6249,8263.2278,783389398564.5663,41221306.442
124416000,5068,323657,78880796.3856,37288150.9989,8205.3194,784187458338.8551,41592645.3867
124243200,5038,323041,79021033.875,37484714.6914,8244.1948,785584856691.3,41536319.1836
124070400,5438,322233,79044808.0423,35876069.2237,7936.803,785824180072.8625,43168738.8186
123897600,5663,321624,79002742.19,34972504.0894,7774.1004,785408879490.4723,44030238.1006
123724800,5548,320958,79010876.0999,35425175.1916,7854.8591,785492656535.9115,43585700.9083
123552000,5489,319352,79025031.1781,35667047.6557,7898.6218,785636355524.5846,43357983.5224
123379200,5473,318489,78651852.596,35541834.3247,7875.7395,781929359804.9775,43110018.2713
123206400,5196,318161,78689687.0791,36664817.6293,8086.1992,782308467539.6348,42024869.4498
123033600,5027,317758,76630706.5476,36320007.7021,8017.329,761841633743.3115,40310698.8455
122860800,5237,317417,76633849.9333,35490550.9679,7855.6891,761875735866.499,41143298.9654
122688000,5140,316901,76795287.8155,35954617.0101,7945.2919,763483429464.6947,40840670.8054
122515200,6306,315386,76787043.4407,31553361.5968,7172.1854,763404143463.2937,45233681.8439
122342400,6742,314790,76792681.2399,30017445.3562,6936.6459,763462625275.8372,46775235.8837
122169600,6779,314174,76909174.6039,29948577.9005,6926.4447,764623218198.712,46960596.7034
121996800,6891,313686,76998595.8063,29606872.1062,6876.4389,765514644885.7937,47391723.7001
121824000,7239,313161,77022019.8546,28436260.1568,6710.8052,765749926740.3602,48585759.6978
121651200,7299,312623,77037339.8641,28241478.6665,6683.9925,765904607920.0815,48795861.1976
121478400,7148,312127,77187704.3585,28825717.0718,6765.0651,767401927893.3448,48361987.2867
121305600,7247,311736,77269828.2074,28532545.1306,6724.354,768220758519.7465,48737283.0768
121132800,7268,307298,77308391.4944,28479975.2752,6717.1176,768606581339.5938,48828416.2192
120960000,7347,298591,77303901.3315,28214627.7088,6680.7962,768564343271.9783,49089273.6227
120787200,7161,294942,77344764.1362,28859013.7334,6769.5175,768973025532.3942,48485750.4028
120614400,7279,294292,77171434.599,28375393.0293,6702.5153,767252188059.4012,48796041.5697
120441600,7858,293772,77466132.6307,26617459.6648,6469.6319,770184564310.3903,50848672.9659
120268800,7943,293379,77518062.4532,26369113.2367,6438.1828,770703300341.7332,51148949.2165
120096000,8055,292635,77991421.9137,26246370.2026,6422.8771,775411960966.2788,51745051.7111
119923200,8145,291959,78002349.4234,25965028.7036,6388.1332,775522949924.8563,52037320.7198
119750400,8107,291478,78007250.4902,26086737.5881,6403.1044,775573959206.3785,51920512.9021
119577600,7922,290917,77804029.7492,26582557.3221,6465.098,773555678678.28,51221472.4271
119404800,7955,290172,77991875.4821,26569855.2538,6463.4038,775425542824.1132,51422020.2283
119232000,7945,289802,78091238.8081,26651101.0479,6473.6183,776415729713.1046,51440137.7602
119059200,8100,289536,78178840.3917,26195431.9812,6416.7801,777288929555.9941,51983408.4105
118886400,10101,288788,78317823.4253,20188956.7024,5753.5683,778672864539.4957,58128866.7229
118713600,7741,287947,78305918.689,27426485.8822,6572.1096,778556847713.4333,50879432.8068
118540800,7852,287652,78450779.2005,27133956.0317,6534.6225,779999583400.8147,51316823.1688
118368000,7336,286413,78283034.2108,28764234.7129,6749.1585,778334216103.2162,49518799.4979
118195200,6001,285858,78118829.4651,33395093.4897,7451.4122,776704232523.8418,44723735.9754
118022400,6372,285337,78015316.3985,31985662.3763,7222.7298,775677681310.5525,46029654.0222
117849600,6350,285086,78837750.3602,32476106.7187,7300.3726,783857516790.377,46361643.6415
117676800,6371,284864,79029782.9019,32496054.4319,7303.5152,785769515614.3008,46533728.47
117504000,6554,284654,79315368.2056,31972016.0503,7222.1675,788611718571.4666,47343352.1553
117331200,6563,284498,79321614.1425,31944746.2098,7218.005,788676563789.7306,47376867.9327
